##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	NA12878_subset_chr22_R1_fq_gz.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	289739
Total Bases	42.8 Mbp
Sequences flagged as poor quality	0
Sequence length	148
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.60809556186775	34.0	31.0	34.0	31.0	34.0
2	32.77239170425797	34.0	31.0	34.0	31.0	34.0
3	32.83234221143857	34.0	31.0	34.0	31.0	34.0
4	36.274181245879916	37.0	37.0	37.0	35.0	37.0
5	36.142973503739576	37.0	35.0	37.0	35.0	37.0
6	36.124850296301155	37.0	36.0	37.0	35.0	37.0
7	36.10779701731558	37.0	36.0	37.0	35.0	37.0
8	36.09818146676837	37.0	35.0	37.0	35.0	37.0
9	37.85223942927946	39.0	38.0	39.0	35.0	39.0
10-14	38.09243767666762	39.4	38.2	39.4	35.2	39.4
15-19	39.22313599480913	41.0	39.0	41.0	36.0	41.0
20-24	39.16253869862186	41.0	39.0	41.0	35.8	41.0
25-29	38.96949668494749	40.8	38.8	41.0	35.0	41.0
30-34	38.74471783225592	40.0	38.0	41.0	34.6	41.0
35-39	38.51841346867353	40.0	38.0	41.0	34.0	41.0
40-44	38.24965917601703	40.0	38.0	41.0	33.2	41.0
45-49	37.946163271081915	40.0	37.2	41.0	33.0	41.0
50-54	37.55591480608409	40.0	36.4	41.0	32.2	41.0
55-59	37.05217937523081	39.0	35.2	41.0	31.2	41.0
60-64	36.501460279769034	38.2	35.0	40.6	31.0	41.0
65-69	35.77998336433825	36.6	34.8	39.6	30.2	41.0
70-74	34.96969203317469	35.4	34.0	38.4	29.8	40.8
75-79	34.21237596595556	35.0	34.0	36.8	29.0	39.2
80-84	33.58705248516769	35.0	33.6	35.8	29.0	37.8
85-89	33.13352845146839	35.0	33.0	35.0	29.0	36.6
90-94	32.84923741712369	35.0	33.0	35.0	28.0	36.0
95-99	32.70607546792113	35.0	33.0	35.0	27.0	35.2
100-104	32.018027259015874	34.4	31.8	34.8	26.0	35.0
105-109	32.60942572453139	35.0	33.0	35.0	27.0	35.0
110-114	32.64110872198772	35.0	33.0	35.0	27.0	35.0
115-119	32.545929957651545	35.0	33.0	35.0	27.0	35.0
120-124	32.45446626101422	35.0	33.0	35.0	27.0	35.0
125-129	32.354039325047715	35.0	33.0	35.0	26.2	35.0
130-134	32.25130134362306	35.0	33.0	35.0	25.0	35.0
135-139	32.153556131552875	35.0	33.0	35.0	25.0	35.0
140-144	32.03234428226783	35.0	33.0	35.0	25.0	35.0
145-148	31.52661360741909	34.75	31.5	35.0	23.5	35.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1104	9	0.13186049043142845
1104	10-14	0.1779919320365977
1104	15-19	0.1932416260252907
1104	20-24	0.23197169713690613
1104	25-29	0.13775956957547209
1104	30-34	0.04429673294391279
1104	35-39	0.0732677586017445
1104	40-44	0.08598203667119719
1104	45-49	0.0537628210750114
1104	50-54	-0.010495660710539312
1104	55-59	-0.03436074530221589
1104	60-64	0.024677576265396794
1104	65-69	-0.050969619712667225
1104	70-74	-0.09770779248862738
1104	75-79	-0.2828570412986835
1104	80-84	0.006198607303232961
1104	85-89	-0.052066974123434306
1104	90-94	-0.07942177983980514
1104	95-99	0.021594697211803293
1104	100-104	0.06263028992306374
1104	105-109	0.1385654030481902
1104	110-114	0.28596770312853437
1104	115-119	0.09755498667340845
1104	120-124	0.10836905336380909
1104	125-129	0.07882422091216768
1104	130-134	0.23834597822870762
1104	135-139	0.1688473053704982
1104	140-144	0.040442004633312933
1104	145-148	0.08075319629800859
1105	1	0.09095488954250186
1105	2	0.10323604195822611
1105	3	0.06919499142617269
1105	4	-0.027336794389988484
1105	5	0.08786878962952471
1105	6	0.20316234382330123
1105	7	0.07806503148456301
1105	8	0.17394774668676405
1105	9	0.2855619710236681
1105	10-14	0.09507476516985491
1105	15-19	0.08896791654149183
1105	20-24	0.2031441661245026
1105	25-29	0.35094884528575676
1105	30-34	0.3597989338242584
1105	35-39	0.3424674384736974
1105	40-44	0.42792281298172696
1105	45-49	0.5247192036280381
1105	50-54	0.3658708859081159
1105	55-59	0.12937674969577984
1105	60-64	0.17370118570918436
1105	65-69	0.09899836748221702
1105	70-74	0.3968140162348561
1105	75-79	0.40184083785297275
1105	80-84	0.29639068413396075
1105	85-89	0.38307108109865595
1105	90-94	0.37706481479804665
1105	95-99	0.3333874142986346
1105	100-104	0.21225013786224523
1105	105-109	0.23003399048316453
1105	110-114	0.19987326535342476
1105	115-119	0.28449776378425184
1105	120-124	0.34280682847385435
1105	125-129	0.09297788237675064
1105	130-134	0.18755366130194062
1105	135-139	0.11516583278145731
1105	140-144	0.08269890739441621
1105	145-148	-0.07575440674320433
1106	1	-0.05562231841577869
1106	2	-1.485529864666546E-4
1106	3	0.07687094718396992
1106	4	0.1050676298302875
1106	5	-0.0016618843001268147
1106	6	0.14510939932534228
1106	7	-0.017563892021598804
1106	8	0.023633866193854658
1106	9	0.07198041191780646
1106	10-14	0.1965488409661802
1106	15-19	0.16244385237036596
1106	20-24	0.039395536237762485
1106	25-29	0.16093722008231026
1106	30-34	0.11607754012843685
1106	35-39	0.1723495256959353
1106	40-44	0.2750022297286634
1106	45-49	0.23389779996775673
1106	50-54	0.2290515415695893
1106	55-59	0.16294236566548648
1106	60-64	0.1287820639102577
1106	65-69	0.021605734539718924
1106	70-74	-0.004573700907336331
1106	75-79	0.13650785881155514
